Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,410,"[22, 26]","['bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java', 'bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java']","[22, 26]"
8,230,[],[],[]
10,385,"[8, 52, 67]","['bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java', 'bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java', 'bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java']","[8, 52, 67]"
18,221,"[3, 9]","['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java', 'bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java']","[3, 9]"
19,387,[],[],[]
44,163,[65],['bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java'],[65]
53,94,[],[],[]
71,126,[1],['bug-71/app/src/main/java/fr/neamar/kiss/forwarder/ExperienceTweaks.java'],[1]
117,198,[],[],[]
128,49,"[1, 13]","['bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/MainActivity.java', 'bug-128/app/src/main/java/org/shadowice/flocke/andotp/Utilities/Settings.java']","[1, 13]"
129,47,[],[],[]
130,47,[],[],[]
135,231,"[5, 11, 57]","['bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/SearchCategoryFragment.java', 'bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/SearchCategoriesRenderer.java', 'bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/SearchCategoriesAdapterFactory.java']","[5, 11, 57]"
191,131,"[2, 17]","['bug-191/app/src/main/java/ch/logixisland/anuto/view/game/TowerView.java', 'bug-191/app/src/main/java/ch/logixisland/anuto/business/control/TowerInserter.java']","[2, 17]"
201,142,[],[],[]
206,126,[],[],[]
209,175,[3],['bug-209/app/src/main/java/org/gnucash/android/ui/util/widget/CalculatorEditText.java'],[3]
256,125,[],[],[]
1073,147,[93],['bug-1073/app/src/main/java/org/mozilla/focus/browser/LocalizedContent.java'],[93]
1096,194,[],[],[]
1146,46,[],[],[]
1147,15,[],[],[]
1151,16,[],[],[]
1202,59,[],[],[]
1205,88,[],[],[]
1207,34,[],[],[]
1214,50,[1],['bug-1214/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java'],[1]
1215,49,[],[],[]
1223,168,[],[],[]
1224,157,[],[],[]
1299,81,[],[],[]
1399,212,[],[],[]
1406,194,[],[],[]
1430,100,[2],['bug-1430/app/src/main/java/com/easyfitness/programs/ProgramRunnerFragment.java'],[2]
1441,129,[1],['bug-1441/android/app/src/main/java/com/cohenadair/anglerslog/locations/ManageFishingSpotFragment.java'],[1]
1445,131,[50],['bug-1445/android/app/src/main/java/com/cohenadair/anglerslog/model/Logbook.java'],[50]
1481,28,[],[],[]
1645,15,[1],['bug-1645/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseDialog.java'],[1]
45,175,[],[],[]
54,91,[31],['bug-54/app/src/main/java/net/gsantner/markor/util/AppSettings.java'],[31]
76,146,[13],['bug-76/app/src/main/java/com/genonbeta/TrebleShot/fragment/FileListFragment.java'],[13]
92,274,[30],['bug-92/app/src/main/java/com/vrem/wifianalyzer/vendor/model/VendorDB.java'],[30]
101,455,[11],['bug-101/OpenStreetMapViewer/src/main/java/org/osmdroid/intro/StoragePreferenceFragment.java'],[11]
106,197,"[121, 170]","['bug-106/app/src/main/java/com/poupa/vinylmusicplayer/loader/SongLoader.java', 'bug-106/app/src/main/java/com/poupa/vinylmusicplayer/util/FileUtil.java']","[121, 170]"
110,221,[30],['bug-110/app/src/main/java/com/poupa/vinylmusicplayer/provider/Discography.java'],[30]
158,270,"[2, 80]","['bug-158/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java', 'bug-158/AnkiDroid/src/main/java/com/ichi2/themes/Themes.java']","[2, 80]"
160,331,[],[],[]
162,613,[],[],[]
168,785,[86],['bug-168/main/src/cgeo/geocaching/maps/MapProviderFactory.java'],[86]
192,74,[],[],[]
199,150,[],[],[]
200,135,[],[],[]
248,475,[4],['bug-248/collect_app/src/main/java/org/odk/collect/android/preferences/GeneralPreferencesFragment.java'],[4]
1150,44,[],[],[]
1198,4,[2],['bug-1198/app/src/main/java/swati4star/createpdf/adapter/ViewFilesAdapter.java'],[2]
1228,168,[],[],[]
1389,17,"[3, 8, 12]","['bug-1389/app/src/main/java/org/y20k/transistor/PlayerActivityFragment.java', 'bug-1389/app/src/main/java/org/y20k/transistor/helpers/StationFetcher.java', 'bug-1389/app/src/main/java/org/y20k/transistor/core/Station.java']","[3, 8, 12]"
1425,104,"[1, 35]","['bug-1425/app/src/main/java/com/easyfitness/WeightFragment.java', 'bug-1425/app/src/main/java/com/easyfitness/DAO/bodymeasures/DAOBodyMeasure.java']","[1, 35]"
1446,130,[2],['bug-1446/AnglersLog/app/src/main/java/com/cohenadair/anglerslog/locations/ManageLocationFragment.java'],[2]
1563,30,[],[],[]
1568,50,[],[],[]
1641,32,"[14, 30]","['bug-1641/trainerappmodel/src/main/java/com/german_software_engineers/trainerappmodel/Legacy/Schedule.java', 'bug-1641/trainerappmodel/src/main/java/com/german_software_engineers/trainerappmodel/Enumerations/TrainingsTypes.java']","[14, 30]"
