Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,2,[],[],[]
8,10,[10],['bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java'],[10]
10,32,[],[],[]
18,3,[2],['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java'],[2]
19,2,[2],['bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java'],[2]
44,3,[],[],[]
53,3,[2],['bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java'],[2]
71,2,[],[],[]
117,2,[],[],[]
128,1,[1],['bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java'],[1]
129,1,[],[],[]
130,1,[1],['bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java'],[1]
135,2,[],[],[]
191,1,[],[],[]
201,1,[1],['bug-201/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
206,46,[33],['bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java'],[33]
209,4,[],[],[]
256,47,[24],['bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java'],[24]
1073,2,[],[],[]
1096,1,[],[],[]
1146,2,[],[],[]
1147,2,[],[],[]
1151,1,[],[],[]
1202,1,[1],['bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java'],[1]
1205,3,[],[],[]
1207,1,[],[],[]
1214,0,[],[],[]
1215,0,[],[],[]
1223,4,[4],['bug-1223/app/src/main/java/org/gnucash/android/ui/transaction/TransactionFormFragment.java'],[4]
1224,13,[9],['bug-1224/app/src/main/java/org/gnucash/android/ui/account/AccountFormFragment.java'],[9]
1299,3,[1],['bug-1299/app/src/main/java/com/fieldbook/tracker/activities/ConfigActivity.java'],[1]
1399,1,[1],['bug-1399/app/src/main/java/org/fossasia/phimpme/gallery/activities/SettingsActivity.java'],[1]
1406,3,[3],['bug-1406/app/src/main/java/org/fossasia/phimpme/gallery/activities/SingleMediaActivity.java'],[3]
1430,3,[],[],[]
1441,4,[],[],[]
1445,4,[],[],[]
1481,3,[],[],[]
1645,6,[],[],[]
45,15,[5],['bug-45/omniNotes/src/main/java/it.feio.android.omninotes.helpers/GeocodeProviderBaseFactory.java'],[5]
54,4,[],[],[]
76,1,[],[],[]
92,1,[],[],[]
101,1,[1],['bug-101/OpenStreetMapViewer/src/main/java/org/osmdroid/PreferenceActivity.java'],[1]
106,16,[],[],[]
110,0,[],[],[]
158,2,[],[],[]
160,0,[],[],[]
162,1,[1],['bug-162/k9mail/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java'],[1]
168,0,[],[],[]
192,20,[1],['bug-192/app/src/main/java/net/gsantner/markor/activity/DocumentEditFragment.java'],[1]
199,4,[4],['bug-199/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[4]
200,3,[3],['bug-200/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[3]
248,47,[],[],[]
1150,3,[],[],[]
1198,2,[],[],[]
1228,11,[2],['bug-1228/app/src/main/java/org/gnucash/android/ui/transaction/TransactionDetailActivity.java'],[2]
1389,2,[],[],[]
1425,3,[],[],[]
1446,3,[],[],[]
1563,6,[2],['bug-1563/app/src/main/java/io/lerk/lrkFM/activities/FileActivity.java'],[2]
1568,1,[1],['bug-1568/app/src/main/java/io/lerk/lrkFM/adapter/FileArrayAdapter.java'],[1]
1641,5,"[1, 4]","['bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/GeneralTrainingScheduleEditor.java', 'bug-1641/app/src/main/java/com/german_software_engineers/trainerapp/ExerciseViewActivity.java']","[1, 4]"
